market_segment,previous_cancellations,booking_changes,deposit_type,customer_type,reserved_room_type,required_car_parking_spaces,is_canceled
Offline TA/TO,0,0,No Deposit,Transient-Party,A,0,0
Online TA,0,0,No Deposit,Transient,A,0,0
Online TA,0,1,No Deposit,Transient,A,0,0
Online TA,0,0,No Deposit,Transient,A,0,1
Online TA,0,2,No Deposit,Transient,A,0,0
Direct,0,1,No Deposit,Transient-Party,A,0,0
Groups,0,0,Non Refund,Transient,A,0,1
Online TA,0,0,No Deposit,Transient,E,0,1
Groups,1,0,Non Refund,Contract,A,0,1
Groups,0,1,No Deposit,Transient-Party,A,0,0
Groups,1,0,Non Refund,Transient,A,0,1
Offline TA/TO,0,0,Non Refund,Transient,A,0,1
Direct,0,0,No Deposit,Transient,D,1,0
Offline TA/TO,0,1,No Deposit,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,Transient,D,0,0
Groups,0,0,No Deposit,Transient-Party,A,0,0
Offline TA/TO,0,1,No Deposit,Transient,A,0,0
Groups,0,2,No Deposit,Transient-Party,A,0,0
Offline TA/TO,1,0,No Deposit,Transient,A,0,1
Direct,0,0,No Deposit,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,Transient-Party,A,0,1
Online TA,0,0,No Deposit,Transient-Party,A,0,0
Online TA,0,0,No Deposit,Transient,F,0,1
Corporate,0,1,No Deposit,Transient-Party,A,0,0
Complementary,0,0,No Deposit,Transient,B,0,0
Online TA,0,0,No Deposit,Transient,A,1,0
Direct,0,0,No Deposit,Transient,E,0,0
Online TA,0,0,No Deposit,Transient,D,0,0
Online TA,0,0,No Deposit,Transient,E,0,0
Corporate,0,0,Non Refund,Transient-Party,E,0,1
Online TA,0,1,No Deposit,Transient,A,0,1
Groups,0,1,No Deposit,Transient-Party,D,0,0
Online TA,0,0,No Deposit,Transient,D,0,1
Offline TA/TO,0,0,No Deposit,Transient,E,0,0
Online TA,0,5,No Deposit,Transient,D,0,0
Direct,0,1,No Deposit,Transient-Party,E,0,0
Online TA,0,0,No Deposit,Transient,G,0,0
Corporate,0,0,No Deposit,Transient,A,1,0
Offline TA/TO,0,0,No Deposit,Contract,E,0,0
Online TA,0,0,No Deposit,Transient,D,1,0
Direct,0,0,No Deposit,Transient,D,0,0
Offline TA/TO,0,0,No Deposit,Contract,A,0,0
Direct,0,0,No Deposit,Transient,A,1,0
Online TA,0,0,No Deposit,Transient,G,1,0
Online TA,0,1,No Deposit,Transient-Party,A,0,0
Online TA,0,2,No Deposit,Transient,D,0,0
Groups,0,1,No Deposit,Transient,A,0,0
Online TA,0,1,No Deposit,Transient,F,0,0
Online TA,0,1,No Deposit,Transient,E,1,0
Direct,0,1,No Deposit,Transient,A,0,0
Offline TA/TO,0,1,No Deposit,Transient,E,0,0
Online TA,0,0,No Deposit,Transient,G,0,1
Online TA,0,2,No Deposit,Transient,A,0,1
Offline TA/TO,0,2,No Deposit,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,Transient-Party,D,0,0
Corporate,0,0,No Deposit,Transient,A,0,0
Offline TA/TO,1,0,No Deposit,Transient-Party,A,0,1
Groups,1,0,No Deposit,Contract,A,0,1
Online TA,0,1,No Deposit,Transient-Party,G,1,0
Corporate,0,0,No Deposit,Transient,A,0,1
Groups,0,1,No Deposit,Transient-Party,D,0,1
Groups,0,0,No Deposit,Transient-Party,D,0,0
Online TA,0,1,No Deposit,Transient,D,0,0
Offline TA/TO,0,0,No Deposit,Transient,D,1,0
Online TA,0,2,No Deposit,Transient,D,1,0
Offline TA/TO,0,1,No Deposit,Transient,D,0,0
Offline TA/TO,0,1,No Deposit,Transient,A,1,0
Direct,1,0,No Deposit,Transient,A,0,0
Groups,0,1,No Deposit,Transient-Party,A,0,1
Groups,0,0,No Deposit,Transient-Party,A,0,1
Aviation,0,0,No Deposit,Transient,D,0,0
Offline TA/TO,1,0,Non Refund,Transient,A,0,1
Groups,1,0,Non Refund,Transient-Party,A,0,1
Offline TA/TO,1,0,Non Refund,Transient-Party,A,0,1
Groups,0,3,No Deposit,Transient-Party,E,1,0
Offline TA/TO,0,0,No Deposit,Transient,F,0,0
Online TA,0,2,No Deposit,Transient,D,0,1
Direct,0,2,No Deposit,Transient,E,0,0
Online TA,0,0,No Deposit,Transient,F,0,0
Corporate,0,0,Non Refund,Transient,A,0,1
Complementary,0,1,No Deposit,Transient,F,0,0
Online TA,0,0,No Deposit,Contract,D,0,0
Groups,0,0,No Deposit,Transient,A,0,0
Direct,0,3,No Deposit,Transient,D,1,0
Online TA,0,1,No Deposit,Transient,D,0,1
Online TA,0,1,No Deposit,Transient-Party,A,0,1
Online TA,0,2,No Deposit,Transient,F,0,0
Online TA,0,0,No Deposit,Transient-Party,D,0,0
Corporate,0,4,No Deposit,Transient-Party,A,0,0
Direct,0,1,No Deposit,Transient,D,1,0
Direct,0,0,No Deposit,Transient-Party,D,0,0
Groups,0,0,Refundable,Transient-Party,D,0,1
Direct,0,0,No Deposit,Transient-Party,A,0,1
Corporate,0,1,No Deposit,Transient,A,0,0
Corporate,0,0,No Deposit,Transient,E,0,0
Online TA,0,3,No Deposit,Transient,A,0,0
Direct,0,1,No Deposit,Transient,E,1,0
Online TA,0,1,No Deposit,Transient,D,1,0
Online TA,0,1,No Deposit,Transient-Party,D,0,0
Direct,1,0,No Deposit,Transient,A,0,1
Online TA,0,1,No Deposit,Transient,F,0,1
Groups,0,0,Refundable,Transient-Party,A,0,0
Online TA,0,1,No Deposit,Transient,E,0,1
Groups,0,4,No Deposit,Transient-Party,A,0,0
Online TA,0,0,No Deposit,Transient,E,1,0
Offline TA/TO,0,0,No Deposit,Transient,A,1,0
Direct,0,0,No Deposit,Transient,A,0,1
Direct,0,0,No Deposit,Transient,E,0,1
Groups,0,0,No Deposit,Transient-Party,E,0,0
Groups,0,0,No Deposit,Transient-Party,D,0,1
Offline TA/TO,0,0,No Deposit,Transient,A,0,1
Offline TA/TO,0,0,No Deposit,Contract,D,1,0
Direct,0,0,No Deposit,Transient,F,0,0
Online TA,0,0,No Deposit,Group,A,0,0
Offline TA/TO,0,0,No Deposit,Group,D,0,0
Online TA,0,0,No Deposit,Transient,C,0,0
Direct,0,0,No Deposit,Transient,F,0,1
Online TA,0,1,No Deposit,Transient-Party,A,1,0
Online TA,0,3,No Deposit,Transient-Party,E,0,0
Groups,0,0,Non Refund,Transient,D,0,1
Complementary,0,2,No Deposit,Transient,E,1,0
Direct,0,0,No Deposit,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,Transient,D,0,1
Online TA,0,0,No Deposit,Contract,A,0,0
Offline TA/TO,0,0,Non Refund,Transient-Party,A,0,1
Online TA,0,0,No Deposit,Transient-Party,A,1,0
Direct,0,0,No Deposit,Transient-Party,E,0,0
Groups,1,0,No Deposit,Transient-Party,A,0,1
Online TA,0,2,No Deposit,Transient-Party,A,0,0
Online TA,0,0,No Deposit,Contract,A,0,1
Offline TA/TO,0,0,No Deposit,Contract,D,0,0
Online TA,0,1,No Deposit,Transient,B,0,0
Direct,0,2,No Deposit,Transient,A,0,0
Groups,25,0,Non Refund,Transient,A,0,1
Direct,0,3,No Deposit,Transient,F,1,0
Online TA,1,0,No Deposit,Transient,A,0,1
Direct,1,0,No Deposit,Transient,B,0,1
Online TA,0,3,No Deposit,Transient,D,0,0
Direct,0,0,No Deposit,Transient,F,1,0
Corporate,2,0,No Deposit,Transient,A,1,0
Online TA,1,0,No Deposit,Transient,G,0,1
Corporate,1,0,No Deposit,Transient-Party,A,0,1
Direct,0,1,No Deposit,Transient,D,0,0
Complementary,0,0,No Deposit,Transient,A,0,0
Direct,0,1,No Deposit,Transient,B,0,0
Corporate,0,2,Non Refund,Transient-Party,A,0,1
Online TA,0,1,No Deposit,Transient,H,1,0
Groups,0,0,Refundable,Transient-Party,A,0,1
Direct,0,0,No Deposit,Transient-Party,G,0,0
Direct,0,0,No Deposit,Transient,G,0,0
Direct,0,1,No Deposit,Transient,G,0,0
Direct,0,0,No Deposit,Transient,D,0,1
Direct,0,2,No Deposit,Transient,D,0,0
Corporate,3,0,No Deposit,Transient,A,0,0
Corporate,0,2,No Deposit,Transient,A,1,0
Corporate,0,2,No Deposit,Transient,A,0,0
Offline TA/TO,0,2,No Deposit,Transient,A,0,1
Online TA,1,0,No Deposit,Contract,F,0,1
Direct,0,3,No Deposit,Transient,D,0,0
Corporate,0,0,No Deposit,Transient,D,1,0
Direct,0,0,No Deposit,Transient,C,0,0
Offline TA/TO,0,0,No Deposit,Transient-Party,B,0,0
Direct,0,0,No Deposit,Group,A,0,0
Online TA,0,0,No Deposit,Transient-Party,A,2,0
Online TA,0,1,No Deposit,Transient-Party,E,0,0
Online TA,0,1,No Deposit,Transient,A,1,0
Offline TA/TO,0,1,No Deposit,Transient-Party,H,0,0
Online TA,0,0,No Deposit,Transient-Party,D,1,0
Corporate,0,1,No Deposit,Transient,A,0,1
Direct,0,1,No Deposit,Group,E,0,0
Online TA,0,0,No Deposit,Transient,H,0,0
Online TA,0,0,No Deposit,Transient-Party,D,0,1
Corporate,0,0,No Deposit,Transient-Party,A,0,0
Online TA,0,0,No Deposit,Transient,B,0,0
Offline TA/TO,0,0,No Deposit,Transient,E,0,1
Direct,0,0,No Deposit,Transient,B,0,0
Direct,0,0,No Deposit,Transient,E,1,0
Direct,0,1,No Deposit,Transient,C,0,0
Direct,0,0,No Deposit,Transient,H,1,0
Groups,0,4,No Deposit,Transient-Party,A,1,0
Offline TA/TO,0,0,No Deposit,Transient-Party,A,1,0
Offline TA/TO,0,0,No Deposit,Contract,A,0,1
Groups,0,1,Non Refund,Transient,H,0,1
Online TA,0,0,No Deposit,Contract,F,0,0
Direct,0,1,No Deposit,Transient,E,0,0
Groups,0,0,No Deposit,Transient-Party,D,1,0
Online TA,0,0,No Deposit,Transient,A,2,0
Direct,0,1,No Deposit,Transient,E,0,1
Complementary,0,0,No Deposit,Transient,G,1,0
Online TA,0,0,Non Refund,Transient-Party,B,0,0
Corporate,1,0,No Deposit,Transient,A,0,0
Groups,0,3,No Deposit,Transient-Party,E,0,0
Direct,0,1,No Deposit,Transient,F,0,0
Online TA,0,0,No Deposit,Transient,H,1,0
Online TA,0,1,No Deposit,Transient-Party,B,0,0
Direct,2,0,No Deposit,Transient,E,0,1
Direct,0,3,No Deposit,Transient,C,0,0
Offline TA/TO,0,1,No Deposit,Contract,D,0,0
Groups,0,0,No Deposit,Group,A,0,0
Corporate,0,0,No Deposit,Transient,D,0,0
Corporate,0,0,No Deposit,Transient-Party,A,0,1
Offline TA/TO,0,0,No Deposit,Transient,C,1,0
Direct,0,3,No Deposit,Transient-Party,B,0,0
Online TA,0,3,No Deposit,Transient-Party,A,0,0
Online TA,0,2,No Deposit,Transient,A,1,0
Online TA,0,1,No Deposit,Transient,G,1,0
Offline TA/TO,0,1,No Deposit,Transient,A,0,1
Online TA,11,0,No Deposit,Transient,A,0,0
Offline TA/TO,0,4,No Deposit,Transient-Party,A,0,0
Direct,0,1,No Deposit,Transient,A,1,0
Online TA,0,0,No Deposit,Transient-Party,A,0,1
Online TA,0,1,No Deposit,Transient,E,0,0
Offline TA/TO,0,1,No Deposit,Transient-Party,A,0,1
Online TA,0,0,No Deposit,Transient,H,0,1
Corporate,0,1,No Deposit,Transient-Party,D,0,0
Direct,0,0,No Deposit,Transient,C,1,0
Online TA,0,0,No Deposit,Transient,D,2,0
Online TA,0,0,No Deposit,Contract,A,1,0
Corporate,0,0,No Deposit,Transient,D,0,1
Groups,0,0,Non Refund,Transient-Party,A,0,0
Offline TA/TO,0,3,No Deposit,Transient-Party,D,0,0
Offline TA/TO,0,0,No Deposit,Transient-Party,E,0,0
Direct,0,0,No Deposit,Transient-Party,D,0,1
Complementary,0,0,No Deposit,Transient,A,0,1
Online TA,0,4,No Deposit,Transient,D,0,0
Online TA,0,1,No Deposit,Contract,A,0,0
Direct,0,0,No Deposit,Transient,G,1,0
Online TA,0,0,No Deposit,Transient,B,0,1
Online TA,0,0,No Deposit,Transient,C,0,1
Direct,0,1,No Deposit,Transient-Party,F,0,0
Online TA,0,1,No Deposit,Transient,G,0,0
Groups,24,0,Non Refund,Transient,A,0,1
Corporate,0,2,No Deposit,Transient-Party,A,0,0
Offline TA/TO,0,0,No Deposit,Group,A,0,0
Offline TA/TO,0,1,No Deposit,Contract,A,0,0
Direct,0,1,No Deposit,Transient-Party,A,1,0
Online TA,1,0,No Deposit,Contract,A,0,1
Direct,0,0,No Deposit,Transient,B,0,1
Online TA,0,5,No Deposit,Transient,G,0,1
Corporate,0,3,No Deposit,Transient,A,1,0
Direct,0,2,No Deposit,Transient,F,1,0
Online TA,0,2,No Deposit,Transient,E,0,1
Corporate,0,0,No Deposit,Transient-Party,A,1,0
Groups,0,5,No Deposit,Transient-Party,A,0,0
Groups,0,6,No Deposit,Transient-Party,D,0,0
Complementary,0,0,No Deposit,Transient,E,1,0
Groups,0,1,No Deposit,Transient-Party,E,0,0
Corporate,3,1,No Deposit,Transient,A,0,0
Direct,0,3,No Deposit,Transient,H,1,0
Complementary,0,1,No Deposit,Transient,E,0,0
Corporate,0,0,No Deposit,Transient,E,0,1
Online TA,1,0,No Deposit,Contract,B,0,1
Offline TA/TO,0,2,No Deposit,Contract,E,0,0
Offline TA/TO,0,2,No Deposit,Contract,A,0,0
Online TA,0,4,No Deposit,Contract,A,0,0
Direct,1,0,No Deposit,Transient,D,0,1
Online TA,0,1,No Deposit,Contract,F,0,0
Corporate,0,0,No Deposit,Contract,A,0,0
Online TA,0,1,No Deposit,Transient,C,1,0
Direct,0,4,No Deposit,Transient,A,0,0
Corporate,3,1,No Deposit,Transient,A,1,0
Groups,0,1,No Deposit,Contract,A,0,0
Direct,0,0,No Deposit,Transient,G,0,1
Complementary,0,1,No Deposit,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,Transient-Party,D,0,1
Online TA,0,3,No Deposit,Transient,D,0,1
Online TA,0,4,No Deposit,Transient,D,0,1
Online TA,0,0,No Deposit,Transient-Party,C,0,0
Offline TA/TO,0,1,No Deposit,Group,A,0,0
Direct,1,0,No Deposit,Transient,E,0,0
Online TA,1,0,No Deposit,Transient,D,0,1
Groups,1,0,No Deposit,Transient,A,0,1
Online TA,0,0,No Deposit,Transient-Party,E,0,0
Offline TA/TO,0,2,No Deposit,Transient,A,0,0
Direct,1,1,No Deposit,Transient-Party,B,0,1
Online TA,0,0,No Deposit,Transient,F,1,0
Online TA,0,2,No Deposit,Transient,C,0,1
Online TA,0,5,No Deposit,Transient,A,1,0
Direct,0,0,No Deposit,Transient-Party,A,1,0
Online TA,0,6,No Deposit,Transient,A,0,1
Online TA,0,1,No Deposit,Transient,G,0,1
Groups,0,0,Non Refund,Contract,A,0,1
Online TA,0,1,No Deposit,Group,B,0,0
Online TA,1,1,No Deposit,Contract,D,0,1
Corporate,0,0,No Deposit,Transient-Party,D,0,0
Online TA,0,7,No Deposit,Transient,F,0,0
Direct,0,3,No Deposit,Transient,A,0,0
Online TA,0,0,No Deposit,Transient-Party,E,1,0
Direct,0,0,No Deposit,Transient,H,0,0
Online TA,0,2,No Deposit,Transient-Party,D,0,0
Groups,0,0,No Deposit,Transient-Party,A,1,0
Online TA,0,0,No Deposit,Transient-Party,B,0,0
Offline TA/TO,1,0,No Deposit,Group,A,0,0
Online TA,0,2,No Deposit,Transient,E,0,0
Corporate,0,1,No Deposit,Transient,D,1,0
Direct,0,3,No Deposit,Transient,E,0,0
Offline TA/TO,0,1,No Deposit,Transient-Party,D,0,0
Direct,0,1,No Deposit,Transient-Party,D,0,0
Direct,0,0,No Deposit,Transient-Party,F,0,0
Direct,0,0,No Deposit,Transient,C,0,1
Direct,0,2,No Deposit,Transient-Party,D,0,0
Complementary,0,0,No Deposit,Transient-Party,A,0,1
Online TA,0,0,No Deposit,Transient-Party,G,1,0
Offline TA/TO,13,0,No Deposit,Transient-Party,A,0,1
Offline TA/TO,0,2,No Deposit,Transient,C,1,0
Online TA,0,6,No Deposit,Transient,A,1,0
Offline TA/TO,2,0,No Deposit,Transient,A,0,1
Online TA,0,3,No Deposit,Transient,F,0,0
Online TA,0,1,No Deposit,Group,A,0,0
Groups,0,0,No Deposit,Transient,A,0,1
Direct,0,1,No Deposit,Transient,F,1,0
Groups,0,1,Non Refund,Transient,A,0,1
Offline TA/TO,0,0,No Deposit,Contract,E,0,1
Online TA,0,1,No Deposit,Contract,D,0,0
Online TA,0,1,No Deposit,Transient-Party,D,0,1
Online TA,0,4,No Deposit,Transient-Party,D,0,0
Direct,0,2,No Deposit,Transient,B,0,0
Online TA,0,0,No Deposit,Group,B,0,0
Online TA,0,2,No Deposit,Transient,F,1,0
Aviation,0,0,No Deposit,Transient,A,0,0
Direct,0,1,No Deposit,Transient,A,0,1
Online TA,0,2,No Deposit,Transient,G,0,1
Offline TA/TO,0,1,No Deposit,Contract,D,0,1
Corporate,1,0,No Deposit,Transient,A,1,0
Online TA,1,1,No Deposit,Transient,A,0,1
Online TA,0,1,No Deposit,Transient-Party,D,1,0
Corporate,6,0,No Deposit,Transient,A,0,0
Offline TA/TO,0,0,No Deposit,Contract,D,0,1
Online TA,0,1,No Deposit,Transient-Party,B,0,1
Direct,0,5,No Deposit,Transient,F,0,0
Direct,0,2,No Deposit,Transient,G,0,0
Online TA,0,1,No Deposit,Transient,C,0,0
Online TA,0,1,No Deposit,Transient,F,1,0
Online TA,0,4,No Deposit,Transient,A,0,0
Corporate,0,4,No Deposit,Transient,A,0,0
Online TA,0,1,No Deposit,Transient,B,0,1
Direct,0,0,No Deposit,Transient-Party,B,1,0
Direct,0,5,No Deposit,Transient,D,0,0
Direct,0,1,No Deposit,Transient,F,0,1
Groups,24,0,No Deposit,Transient-Party,A,0,1
Online TA,0,0,No Deposit,Group,A,0,1
Online TA,0,1,No Deposit,Contract,F,1,0
Complementary,2,0,No Deposit,Transient,A,0,1
Online TA,0,2,No Deposit,Transient-Party,A,0,1
Direct,0,2,No Deposit,Transient-Party,A,0,1
Offline TA/TO,0,1,Non Refund,Transient,A,0,1
Complementary,1,0,No Deposit,Transient,A,0,0
Offline TA/TO,0,2,No Deposit,Transient,C,0,0
Groups,0,0,No Deposit,Transient,C,0,0
Offline TA/TO,0,3,No Deposit,Transient-Party,A,0,0
Corporate,1,0,Non Refund,Transient,A,0,1
Offline TA/TO,0,1,No Deposit,Transient,D,0,1
Direct,0,2,No Deposit,Transient,A,1,0
Direct,0,3,No Deposit,Transient-Party,D,0,0
Online TA,1,0,No Deposit,Contract,D,0,1
Online TA,0,0,No Deposit,Group,D,0,0
Direct,0,3,No Deposit,Transient,A,1,0
Groups,0,0,Non Refund,Transient-Party,A,0,1
Corporate,1,0,No Deposit,Transient-Party,A,0,0
Offline TA/TO,0,2,No Deposit,Transient,E,0,0
Corporate,3,2,No Deposit,Transient,A,0,0
Direct,0,0,No Deposit,Transient-Party,B,0,0
Offline TA/TO,1,2,No Deposit,Group,A,0,1
Complementary,1,1,No Deposit,Transient,A,0,0
Direct,0,0,No Deposit,Transient,L,0,0
Direct,0,2,No Deposit,Transient,D,0,1
Groups,0,3,No Deposit,Transient-Party,A,0,0
Online TA,0,0,No Deposit,Contract,D,0,1
Online TA,0,0,No Deposit,Transient-Party,G,0,0
Corporate,0,3,No Deposit,Transient,A,0,0
Groups,0,2,No Deposit,Transient-Party,E,0,0
Complementary,0,1,No Deposit,Transient,D,1,0
Offline TA/TO,1,0,No Deposit,Transient,D,0,1
Corporate,0,4,No Deposit,Contract,A,0,0
Online TA,1,1,No Deposit,Transient-Party,A,0,1
Groups,0,2,No Deposit,Transient,A,0,0
Direct,1,0,No Deposit,Transient-Party,B,0,1
Offline TA/TO,0,1,No Deposit,Transient-Party,A,1,0
Corporate,0,1,No Deposit,Transient,A,1,0
Online TA,0,1,No Deposit,Contract,B,1,0
Direct,0,0,No Deposit,Transient-Party,G,0,1
Offline TA/TO,0,2,No Deposit,Transient,D,0,0
Offline TA/TO,0,3,No Deposit,Transient,A,0,0
Online TA,0,0,No Deposit,Contract,B,0,0
Direct,0,2,No Deposit,Transient,A,0,1
Online TA,0,2,No Deposit,Contract,A,0,0
Online TA,0,2,No Deposit,Transient,C,1,0
Direct,1,1,No Deposit,Transient,F,0,0
Groups,0,2,No Deposit,Transient,C,0,0
Online TA,0,0,No Deposit,Group,G,0,0
Offline TA/TO,26,0,Non Refund,Transient,A,0,1
Groups,0,1,No Deposit,Transient-Party,D,1,0
Offline TA/TO,0,1,No Deposit,Group,D,0,0
Groups,0,4,No Deposit,Transient-Party,D,0,0
Corporate,0,1,Non Refund,Transient,A,0,1
Offline TA/TO,0,0,No Deposit,Transient,F,1,0
Online TA,2,0,No Deposit,Transient,A,0,1
Corporate,2,0,No Deposit,Transient,A,0,1
Complementary,0,0,No Deposit,Transient,D,1,0
Groups,0,3,No Deposit,Transient-Party,D,1,0
Groups,0,2,Refundable,Transient-Party,A,0,0
Groups,0,0,No Deposit,Transient-Party,G,0,1
Corporate,0,1,No Deposit,Transient-Party,A,0,1
Corporate,0,2,No Deposit,Transient-Party,E,0,0
Direct,0,0,No Deposit,Transient-Party,D,1,0
Online TA,0,3,No Deposit,Transient,D,1,0
Direct,0,3,No Deposit,Transient,E,1,0
Offline TA/TO,0,1,No Deposit,Contract,A,0,1
Corporate,0,1,No Deposit,Transient,D,0,0
Online TA,0,7,No Deposit,Transient,A,0,0
Online TA,0,2,No Deposit,Transient,G,0,0
Complementary,0,0,No Deposit,Transient,E,0,0
Groups,0,0,No Deposit,Contract,A,0,0
Direct,0,3,No Deposit,Transient,F,0,0
